question_id,question,reference_answer,source_doi
1,Can large-scale tree cover change negate climate change impacts on future water availability?,"Large-scale tree cover change can partly negate climate change impacts on future water availability at the global scale by offsetting climate-driven increases in runoff, but regionally it can either enhance or reduce water availability depending on location.",10.5194/egusphere-2024-313
2,Could an extremely cold central European winter such as 1963 happen again despite climate change?,"Yes, a winter as cold as 1963 is still physically possible but very unlikely. Under present-day climate, similar circulation conditions would produce an extreme cold anomaly of about -4.9 to -4.7 °C, ranking as the second-coldest winter in the last 75 years. Cold winters are less frequent and less intense overall, but extreme events remain possible.",10.5194/wcd-5-943-2024
3,How can observational estimates of both global warming and anthropogenic CO2 emissions be integrated with model ensembles to refine carbon budget assessments?,"Observational estimates of warming and emissions can act as an emergent constraint when combined with historical simulations and future projections from model ensembles, improving the central estimate and reducing uncertainties. Applying this constraint to the cumulative carbon budgets for 1.5?°C and 2?°C of global warming derived from the CMIP6 ensemble mean increases the central estimates by more than 10%.",10.1038/s41467-024-46137-7
4,How do estimates of the economic damage of climate change at 3 °C  global warming change when accounting for additional climate indicators beyond the annual mean temperature?,"At 3 °C of global warming, economic damage estimates based solely on annual mean temperature changes project about a 10% decrease in global GDP. Because these estimates focus only on mean temperature and do not include other climate indicators such as changes in variability or extremes, they may be biased downward, meaning the true economic impacts could be higher once additional climate factors are considered.",10.1038/s41558-024-01990-8
5,How do ocean warming and acidification affect biological responses in marine organisms?,"They induce directional changes in calcification, survival, and metabolism, and significant deviations in twice as many biological responses, including physiology, reproduction, behavior, and development. ",10.1038/s41467-024-47064-3
6,How do the climatic effects of Antarctic ice sheet removal differ from those of Southern Ocean meltwater input?,"Antarctic ice sheet removal and Southern Ocean meltwater input have contrasting climatic effects. Meltwater input leads to cooling, causing a decrease in air temperature over Antarctica and lower Southern Ocean sea surface temperatures (SSTs). In contrast, ice sheet removal results in warming, producing 2-4 °C higher air temperatures over Antarctica.",10.1038/s41467-024-45501-x
7,How do the combined effects of ocean warming and acidification compare with the effects of each stressor individually on marine trophic levels?,"Both ocean acidification and ocean warming individually have detrimental effects on marine species, but their combined impact is generally negligible compared to each stressor alone. Interactions are most often antagonistic (44%) or additive (40%), with synergistic effects being rare (16%). Responses also vary by trophic level: primary producers benefit from acidification, whereas meso-predators and top predators remain more tolerant to both individual and combined stressors.",10.1038/s41467-024-47563-3
10,How does high reliance on carbon dioxide removal (CDR) affect residual emissions and the timing of net-zero CO? goals in Asia?,"High reliance on carbon dioxide removal (CDR) in Asia leads to residual fossil fuel and industry emissions of about 8 gigatonnes of CO? per year by 2050, compared to less than 1 gigatonne under moderate-to-low CDR reliance. It can also delay the achievement of domestic net-zero CO? emissions for several Asian countries and regions.",10.1038/s41467-024-50594-5
12,How does the marine carbon cycle influence the multiple equilibria window (MEW) of the Atlantic Meridional Overturning Circulation (AMOC)?,The marine carbon cycle influences the multiple equilibria window (MEW) of the AMOC by linking freshwater forcing to atmospheric pCO? and by changing the system’s total carbon content. A higher carbon content enlarges the MEW through shifts in both the on and off branch saddle node bifurcations.,10.5194/esd-15-1567-2024
13,How has glacial isostatic adjustment (GIA) affected the evolution of present-day subsea permafrost according to simulations?,"Glacial isostatic adjustment (GIA) has affected the evolution of subsea permafrost across the Arctic continental shelf, with deformational effects dominant in some seas and hydro-isostatic effects in others. Overall, accounting for GIA in simulations reduces both the extent and thickness of present-day subsea permafrost compared to simulations that omit GIA.",10.1038/s41467-024-45906-8
14,How has the indirect effect of elevated CO2 (eCO2) on global vegetation carbon uptake changed over the last few decades?,The indirect effect of elevated CO? on global vegetation carbon uptake was initially positive but has weakened over recent decades and shifted to negative in the early 21st century.,10.1038/s41467-024-45957-x
15,How might the implementation of climate policies toward carbon neutrality alter the atmospheric hydroxyl (OH) concentration?,"Climate policies aimed at carbon neutrality can lead to increases in global atmospheric hydroxyl (OH) concentrations, but this outcome depends strongly on the specific future emissions pathway. Under the SSP126 carbon-neutrality scenario, model simulations project a potential increase in global-mean OH of 0.071-0.16% per year during 2015-2100, mainly because reductions in methane and carbon monoxide lower OH sinks.",10.1038/s41467-024-47436-9
16,How much methane removal is required to avoid overshooting 1.5°C?,"To avoid overshooting 1.5 °C in the low-overshoot, strong-mitigation SSP1-1.9 scenario, a median cumulative methane removal of 1.2 PgCH? is required, though this may be much higher if climate sensitivity is high or the zero emissions commitment is positive.",10.1088/1748-9326/ad5853
17,How much of the global population is expected to be affected by precipitation changes under greenhouse gas emissions by the end of this century?,"By the end of the century, 38% of the current global population (about 3 billion people) would be affected under intermediate emissions, while 65.6% (about 5 billion people) would be affected under very high emissions. Projections of future populations yield a consistent affected range of 35.5-61.4%.",10.1038/s41467-023-44513-3
18,"In studies of ocean warming and acidification, how do deviational effects on marine organisms compare to directional effects across different climate scenarios (e.g., RCP 6, RCP 8.5, extreme levels)?","Deviational effects occur in about twice as many biological responses as directional effects. They are already evident under moderate intensity levels (RCP 6), while directional changes mostly appear only at higher intensity levels (RCP 8.5 and extreme scenarios).",10.1038/s41467-024-47064-3
19,"Tropical or extratropical cyclones: what drives the compound flood hazard, impact, and risk for the United States Southeast Atlantic coast?","Extratropical cyclones drive most yearly flood impacts (~2× more likely), but tropical cyclones dominate rare extremes, ~30× more likely to affect people in 100-year events and accounting for over half of regional flood risk. Sea-level rise expands flooded areas under both. Absolute risk is highest in greater Miami, while several less-populous counties bear the highest relative risks.",10.1007/s11069-024-06552-x
20,What are the drivers of the increasing capacity of the coastal ocean to absorb CO? from the atmosphere?”,"The increasing capacity of the coastal ocean to absorb CO? is mainly driven by biological responses to climate-induced changes in circulation (36%) and by increasing riverine nutrient loads (23%), which together outweigh the contribution from the ocean CO? solubility pump (41%).",10.1038/s41558-024-01956-w
21,"What are the effects of ocean acidification and warming on marine primary producers, both individually and in combination?","Ocean acidification (OA) and ocean warming (OW) individually exert detrimental effects on marine species, but their combined effect is generally negligible. Primary producers benefit from OA, whereas OW can increase primary production by up to 30% in much of the model domain. However, warming also strengthens upper ocean stratification, which inhibits nutrient supply to the euphotic zone and can constrain productivity.",10.1038/s41467-024-47563-3
22,What are the potential effects of urban irrigation on carbon release from urban ecosystem respiration in major cities of the United States?,"The modeling results indicate that the carbon release from urban ecosystem respiration is reduced by urban irrigation through evaporative cooling in humid climate, but promoted in arid/semi-arid regions. They show that irrigation reduces the net sequestration rate from urban vegetation by 0.22 gCO 2 mˆ-2 dˆ-1 , primarily due to the unintended increase of soil respiration. ",10.1038/s41467-024-46826-3
23,What are the sources of marine isoprene emissions? Do abiotic photochemical processes contribute to the total marine isoprene budget?,"While marine isoprene emissions have long been thought to arise primarily from biogenic sources, recent studies suggested that abiotic photochemical processes in the surface microlayer (SML) at the sea-air interface may also make a significant contribution to the overall marine isoprene budget.",10.1038/s41467-024-46744-4
24,What climatic impacts did partial melting of the Antarctic ice sheet during the Last Interglacial have on surface and ocean temperatures?,"Partial melting of the Antarctic ice sheet during the Last Interglacial caused surface warming over East Antarctica of 2 to 4 °C, increases in sea surface temperature in the Weddell and Ross Seas by up to 2 °C, and, from meltwater forcing, a decrease in high-latitude sea surface temperature together with a subsurface ocean temperature increase of up to 2 °C in the Ross Sea.",10.1038/s41467-024-45501-x
25,What climatic impacts result from Antarctic ice removal compared to Southern Ocean meltwater input?,"Antarctic ice removal leads to a 2-4 °C warming over  Antarctica, consistent with proxy records. In contrast, enhanced meltwater input causes an air temperature decrease over Antarctica and Southern Ocean surface cooling. ",10.1038/s41467-024-45501-x
26,What could happen to global carbon storage if plant biodiversity continues to decline under future climate and land-use change scenarios?,"If plant biodiversity continues to decline under future climate and land-use change scenarios, global carbon storage could decrease substantially. The projected loss of vegetation carbon ranges from 7.44-103.14 PgC in a global sustainability scenario to 10.87-145.95 PgC in a fossil-fueled development scenario. This reduction in carbon storage would also reinforce climate change through a positive feedback loop, where biodiversity loss leads to more carbon emissions, which then accelerate further climate change.",10.1038/s41467-024-47872-7
27,What differences in global cooling efficiency and temperature gradients arise from injecting stratospheric aerosols at different latitudes?,"Injecting stratospheric aerosols in the mid-latitudes produces more global cooling per unit injection, while the equatorial (EQ) and 60N+60S strategies require 59% and 50% more injection, respectively, to achieve the same global mean temperature target. Injecting at higher latitudes results in larger Equator-to-pole temperature gradients.",10.5194/esd-15-191-2024
28,"What drives the weakening of the subtropical circulation (SC) in a warmer climate, and what are its implications?","The weakening of the subtropical circulation is primarily driven by global-mean surface warming, with a partial counteracting effect from direct CO? forcing. Over time, the surface warming effect dominates, leading to a robust decline in SC intensity across CMIP6 models. This decline implies a contraction of the monsoon range and increased drying at the boundaries between monsoon and arid regions under CO?-induced global warming.",10.1038/s41467-023-44244-5
29,What ecological and biological processes affect the direction and strength of feedbacks between ecosystems and climate?,"Ecological and biological processes such as competition, trophic interactions, metabolism, and adaptation affect the directionality and magnitude of feedbacks between ecosystems and climate.",10.1111/gcb.17351
30,What explains the proportionality of global warming to cumulative carbon emissions?,"The proportionality of global warming to cumulative carbon emissions has been explained by a balance between the logarithmic dependence of radiative forcing on CO?  concentration and the saturation of CO?  sinks at higher CO?  levels. Some studies also suggested it arises because heat and carbon are mixed into the ocean by similar processes, but experiments show that their fluxes evolve very differently. Instead, the proportionality emerges from the combined behavior of the atmosphere, ocean, and land carbon pools, and is therefore not amenable to a simple physical explanation.",10.5194/egusphere-egu24-13603
